#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     78.9981     78.9981           0
           2     79.5115     79.2548    0.181521
           3      79.783     79.4309    0.187918
           4     78.8656     79.2895    0.186665
           5     79.1046     79.2526    0.152952
           6     79.1384     79.2335    0.128638
           7      79.119     79.2172    0.111297
           8     78.7118      79.154    0.113911
           9     78.4056     79.0708     0.12806
          10     78.9351     79.0573    0.115971
          11     79.6643     79.1125    0.117829
          12     79.7018     79.1616    0.117802
          13     79.6811     79.2015     0.11532
          14     78.8297      79.175    0.110099
          15     78.6704     79.1413    0.107776
          16      78.889     79.1256    0.102187
          17     79.0989      79.124   0.0961884
          18     79.8643     79.1651    0.099249
          19     78.7812     79.1449   0.0960603
          20     78.5678     79.1161    0.095493
          21     78.7332     79.0978   0.0926701
          22     79.1575     79.1005   0.0884975
          23     78.6578     79.0813   0.0867179
          24      79.106     79.0823   0.0831108
          25      78.936     79.0765   0.0799921
          26     78.6385     79.0596   0.0786689
          27     78.5532     79.0409   0.0779591
          28     78.8057     79.0325    0.075626
          29     80.0997     79.0693   0.0814815
          30     79.1002     79.0703   0.0787719
          31     78.5531     79.0536   0.0779775
          32     79.6567     79.0725   0.0777849
          33     78.8679     79.0663   0.0756744
          34     79.7726      79.087   0.0762472
          35     78.7888     79.0785   0.0745434
          36     78.1597      79.053   0.0767177
          37     78.6938     79.0433   0.0752558
          38     78.6936     79.0341   0.0738359
          39     78.8401     79.0291   0.0721099
          40     78.4793     79.0154   0.0716052
          41     78.2713     78.9972   0.0721216
          42     79.0525     78.9985   0.0704164
          43     78.7134     78.9919   0.0690903
          44     79.4148     79.0015   0.0681852
          45     78.7916     78.9968   0.0668294
          46     78.5454      78.987   0.0660933
          47     78.5373     78.9775   0.0653762
          48     79.5682     78.9898   0.0651622
          49     78.6663     78.9832   0.0641659
          50     78.7938     78.9794   0.0629943
          51     78.8527     78.9769    0.061808
          52      78.711     78.9718   0.0608305
          53     78.3417     78.9599   0.0608333
          54      78.522     78.9518   0.0602448
          55      78.976     78.9522   0.0591511
          56     80.0467     78.9718   0.0612384
          57     79.1296     78.9745   0.0602266
          58     79.3239     78.9806   0.0594887
          59     79.3692     78.9871   0.0588439
          60     78.5074     78.9792    0.058404
          61     80.7012     79.0074   0.0639061
          62     79.2496     79.0113   0.0629946
          63     79.0848     79.0125   0.0620055
          64      78.839     79.0097   0.0610959
          65      78.256     78.9981   0.0612465
          66     79.0701     78.9992   0.0603282
          67     79.3118     79.0039   0.0596079
          68     79.1226     79.0057   0.0587569
          69     79.9107     79.0188   0.0593514
          70     79.9508     79.0321   0.0599785
          71      78.582     79.0257   0.0594678
          72     79.5481      79.033   0.0590828
          73     78.7076     79.0285   0.0584414
          74     79.7873     79.0388   0.0585441
          75     78.4981     79.0316   0.0582057
          76     79.5339     79.0382   0.0578139
          77     79.0456     79.0383   0.0570632
          78     78.9497     79.0372   0.0563429
          79     78.8471     79.0348    0.055681
          80     78.6262     79.0296   0.0552187
          81     79.3269     79.0333   0.0546588
          82       78.53     79.0272   0.0543359
          83     79.0082     79.0269   0.0536817
          84     79.3244     79.0305   0.0531593
          85     78.4914     79.0241   0.0529109
          86     78.1719     79.0142   0.0532156
          87     79.7074     79.0222    0.053197
          88      79.436     79.0269   0.0527999
          89     78.5792     79.0219   0.0524457
          90     78.8807     79.0203   0.0518864
