#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0288356   0.0288356           0
           2  -0.0229481  0.00294379   0.0183083
           3   0.0642397   0.0233758   0.0206709
           4    0.036459   0.0266466   0.0157598
           5   0.0229227   0.0259018   0.0126254
           6  0.00163076   0.0218566   0.0111504
           7   0.0373605   0.0240715    0.009775
           8   0.0146444   0.0228931  0.00862386
           9  0.00633032   0.0210528  0.00785956
          10  -0.0163267   0.0173148   0.0079127
          11    0.013265   0.0169467  0.00720193
          12   0.0797284   0.0221785  0.00828699
          13   0.0085388   0.0211293  0.00771566
          14  -0.0538161    0.015776  0.00882841
          15   0.0265467   0.0164941    0.008269
          16  -0.0146383   0.0145483  0.00797783
          17  0.00936232   0.0142432  0.00751438
          18  0.00414448   0.0136822  0.00711783
          19   0.0628335   0.0162691  0.00719796
          20  -0.0628499   0.0123132  0.00785024
          21 -0.00118862   0.0116702   0.0075027
          22   0.0506475   0.0134419  0.00736788
          23   0.0440999   0.0147749   0.0071671
          24   0.0039065    0.014322  0.00688276
          25  -0.0105198   0.0133283   0.0066788
          26  0.00166194   0.0128796  0.00643698
          27 -0.00282486    0.012298  0.00622479
          28   0.0643983   0.0141587  0.00627442
          29   0.0140796    0.014156  0.00605806
          30  -0.0434371   0.0122362   0.0061528
          31 -0.00384264   0.0117175  0.00597614
          32   0.0203686   0.0119879   0.0057955
          33  -0.0639439  0.00968692  0.00605946
          34    0.050794    0.010896  0.00600064
          35   0.0186259   0.0111168  0.00583326
          36 -0.00174946   0.0107594  0.00568216
          37   0.0333721   0.0113706  0.00556136
          38  0.00845124   0.0112937  0.00541554
          39    0.005828   0.0111536  0.00527849
          40  -0.0485064   0.0096621   0.0053531
          41 -0.00474268  0.00931076  0.00523406
          42    0.015248  0.00945212  0.00511135
          43  -0.0126578  0.00893794  0.00501827
          44  -0.0357371   0.0079226  0.00500588
          45  0.00058444  0.00775953   0.0048973
          46  -0.0125055  0.00731898  0.00481061
          47  -0.0502008  0.00609516  0.00486144
          48  -0.0239448  0.00546933  0.00480027
          49  -0.0666087  0.00399835  0.00492253
          50   -0.019336  0.00353166  0.00484615
          51  -0.0222553  0.00302603  0.00477743
          52  0.00692182  0.00310095  0.00468615
          53  -0.0235356  0.00259837   0.0046246
          54   0.0210167  0.00293945  0.00455152
